ObservationID,ObservationDate,Location,Category,Description,RiskLevel,IsNearMiss,IsIncident
OBS_20260219_111637,2026-02-19,CAM_1,Fire Safety,Monitoring session started.,High,False,False
OBS_20260219_111649,2026-02-19,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260219_111729,2026-02-19,CAM_1,Fire Safety,Monitoring session stopped.,High,False,False
OBS_20260220_150113,2026-02-20,CAM_1,Fire Safety,Monitoring session started.,High,False,False
OBS_20260220_150147,2026-02-20,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260220_150200,2026-02-20,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260220_150255,2026-02-20,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260220_150325,2026-02-20,CAM_1,Restricted Zone,Unauthorized entry detected.,High,True,False
OBS_20260220_150401,2026-02-20,CAM_1,Fire Safety,Monitoring session stopped.,High,False,False
OBS_20260221_224303,2026-02-21,CAM_1,Fire Safety,Monitoring session started.,High,False,False
OBS_20260221_224323,2026-02-21,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260221_224406,2026-02-21,CAM_1,Fire Safety,Monitoring session stopped.,High,False,False
OBS_20260222_200812,2026-02-22,CAM_1,Fire Safety,Monitoring session started.,High,False,False
OBS_20260222_201105,2026-02-22,CAM_1,Fire Safety,Monitoring session stopped.,High,False,False
OBS_20260224_125617,2026-02-24,CAM_1,Fire Safety,Monitoring session started.,High,False,False
OBS_20260224_125702,2026-02-24,CAM_1,Restricted Zone,Unauthorized entry detected.,High,True,False
OBS_20260224_125800,2026-02-24,CAM_1,Fire Safety,Monitoring session stopped.,High,False,False
OBS_20260224_144732,2026-02-24,CAM_1,Fire Safety,Monitoring session started.,High,False,False
OBS_20260224_144736,2026-02-24,CAM_1,Fire Safety,Monitoring session stopped.,High,False,False
OBS_20260224_144814,2026-02-24,CAM_1,Fire Safety,Monitoring session started.,High,False,False
OBS_20260224_144818,2026-02-24,CAM_1,Fire Safety,Monitoring session stopped.,High,False,False
OBS_20260224_144850,2026-02-24,CAM_1,Fire Safety,Monitoring session started.,High,False,False
OBS_20260224_144918,2026-02-24,CAM_1,Restricted Zone,Unauthorized entry detected.,High,True,False
OBS_20260224_144943,2026-02-24,CAM_1,Fire Safety,Monitoring session stopped.,High,False,False
OBS_20260303_125744,2026-03-03,CAM_1,Fire Safety,Monitoring session started.,High,False,False
OBS_20260303_125746,2026-03-03,CAM_1,Fire Safety,Monitoring session stopped.,High,False,False
OBS_20260303_125811,2026-03-03,CAM_1,Fire Safety,Monitoring session started.,High,False,False
OBS_20260303_125817,2026-03-03,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260303_125821,2026-03-03,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260303_125847,2026-03-03,CAM_1,Restricted Zone,Unauthorized entry detected.,High,True,False
OBS_20260303_125917,2026-03-03,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260303_125921,2026-03-03,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260303_130017,2026-03-03,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260303_130023,2026-03-03,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260303_130117,2026-03-03,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260303_130123,2026-03-03,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260303_130155,2026-03-03,CAM_1,Fire Safety,Monitoring session stopped.,High,False,False
OBS_20260305_125228,2026-03-05,CAM_1,Fire Safety,Monitoring session started.,High,False,False
OBS_20260305_125241,2026-03-05,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260305_125257,2026-03-05,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260305_125303,2026-03-05,CAM_1,Fire Safety,Monitoring session stopped.,High,False,False
OBS_20260306_113648,2026-03-06,CAM_1,Fire Safety,Monitoring session started.,High,False,False
OBS_20260306_113652,2026-03-06,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260306_113655,2026-03-06,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260306_113657,2026-03-06,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260306_113700,2026-03-06,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260306_113702,2026-03-06,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260306_113705,2026-03-06,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260306_113707,2026-03-06,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260306_113709,2026-03-06,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260306_113712,2026-03-06,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260306_113714,2026-03-06,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260306_113717,2026-03-06,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260306_113719,2026-03-06,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260306_113722,2026-03-06,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260306_113724,2026-03-06,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260306_113727,2026-03-06,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260306_113729,2026-03-06,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260306_113732,2026-03-06,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260306_113735,2026-03-06,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260306_113738,2026-03-06,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260306_113738,2026-03-06,CAM_1,Fire Safety,Monitoring session stopped.,High,False,False
OBS_20260311_134619,2026-03-11,CAM_1,Fire Safety,Monitoring session started.,High,False,False
OBS_20260311_134620,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134620,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134620,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
